,film,number,abstract,starring,name,subjects,cinematography,director,gross,producer,language
10,Alien 2: On Earth,42746245,"Alien 2: On Earth, also known as Alien Terror, is a 1980 Italian-American science fiction horror film, written and directed by Ciro Ippolito before the trademark Alien was registered. It was released following the success of the 1979 film Alien as an unofficial sequel, albeit having little connection to the film.",-Belinda Mayne-Benny Aldrich-Claudio Falanga-Don Parkinson-Judy Perrin-Mark Bodin-Michele Soavi-Roberto Barrese,Alien 2: On Earth,American films-American monster movies-American science fiction horror films-American splatter films-English-language films-Films about extraterrestrial life-Films scored by Guido & Maurizio De Angelis-Films set in the 1970s-Films set in the United States-Films shot in California-Italian-language films,na,Ciro Ippolito,na,Ciro Ippolito,English
11,The Curse of King Tut's Tomb (1980 film),25602422,"The Curse of King Tut's Tomb is a 1980 horror film directed by Philip Leacock and starring Eva Marie Saint, Harry Andrews, Raymond Burr and Tom Baker, with Paul Scofield as the narrator.",Eva Marie Saint-Harry Andrews,The Curse of King Tut's Tomb,British television films,na,Philip Leacock,na,Philip Leacock,English
12,Night of the Werewolf (film),7277626,"El Retorno del Hombre Lobo (The Return of the Wolfman) is a 1980 Spanish horror film that is the ninth in a long series about the werewolf Count Waldemar Daninsky, played by Paul Naschy. In the United States, the film was released theatrically and on VHS as The Craving in 1985, and more recently on DVD and Blu-ray as Night of the Werewolf. This was by far Naschy's favorite Hombre Lobo film, according to interviews. Naschy considered it a remake of his 1970 classic La Noche de Walpurgis (Walpurgis Night). The film had a much larger budget than previous Naschy werewolf productions.",Azucena Hernández-Julia Saly-Paul Naschy-Silvia Aguilar,El Retorno del Hombre Lobo,1980 films-1980 horror films-Cultural depictions of Elizabeth Báthory-Films about zombies-Spanish films-Spanish horror films-Vampires in film-Werewolves in film,na,Paul Naschy,na,Paul Naschy,http://dbpedia.org/resource/Spanish_language
13,Cannibal Holocaust,513149,"Cannibal Holocaust is a 1980 Italian cannibal film directed by Ruggero Deodato and written by Gianfranco Clerici. It stars Robert Kerman as Harold Monroe, an anthropologist from New York University who leads a rescue team into the Amazon rainforest to locate a crew of filmmakers. Played by Carl Gabriel Yorke, Francesca Ciardi, Perry Pirkanen, and Luca Barbareschi, the crew had gone missing while filming a documentary on local cannibal tribes. When the rescue team is only able to recover the crew's lost cans of film, an American television station wishes to broadcast the footage as a sensationalized television special. Upon viewing the reels, Monroe is appalled by the team's actions and objects to the station's intent to air the documentary.",-Carl Gabriel Yorke-Francesca Ciardi-Luca Barbareschi-Perry Pirkanen-Robert Kerman,Cannibal Holocaust,1980 controversies-1980 films-1980 horror films-1980s adventure films-Animal cruelty incidents-Cannibal-boom films-Censored films-English-language films-Film controversies-Films about cruelty to animals-Films about filmmaking-Films about hunter-gatherers-Films about missing people-Films directed by Ruggero Deodato-Films scored by Riz Ortolani-Films set in 1979-Films set in New York City-Films set in South America-Films set in Venezuela-Films shot in Rome-Found footage films-Italian-language films-Italian adventure films-Italian films-Italian horror films-Italian independent films-Italian mockumentary films-Obscenity controversies-Obscenity controversies in film-Rape and revenge films-Splatter films-United Artists films-Video nasties,na,Ruggero Deodato,na,Ruggero Deodato,English
14,Hell of the Living Dead,3927646,"Hell of the Living Dead (Italian: Virus - l'inferno dei morti viventi) is a 1980 horror film directed by Bruno Mattei. The film is set in a laboratory in Papua New Guinea that releases a dangerous chemical, turning the technicians and locals into zombies. A French news reporter (Margit Evelyn Newton) and her crew land on the island to investigate.",-Franco Garafalo-José Gras-Selan Karay-Margit Evelyn Newton,Hell of the Living Dead,Italian science fiction horror films,na,Bruno Mattei,na,Bruno Mattei,na
15,Cannibal Apocalypse,15945437,"Cannibal Apocalypse (Italian: Apocalypse Domani, also known as Invasion of the Flesh Hunters) is a horror film directed by Antonio Margheriti. The film combines the horror genre with a forerunner of Margheriti's Vietnam War films.",-Elizabeth Turner-Giovanni Lombardo Radice-John Saxon,Cannibal Apocalypse,1980 films-1980 horror films-Films about viral outbreaks-Films directed by Antonio Margheriti-Films set in Atlanta-Films shot in Georgia (U.S. state)-Italian films-Italian horror films-Post-traumatic stress disorder in fiction-Spanish films,na,Antonio Margheriti,na,Antonio Margheriti,na
16,The Awakening (1980 film),14521896,"The Awakening is a 1980 British horror film directed by Mike Newell and starring Charlton Heston, Susannah York, and Stephanie Zimbalist. It is the theatrical debut film of Newell. The Awakening is the third film version of Bram Stoker's 1903 novel The Jewel of Seven Stars, following 1970 television adaptation as The Curse of the Mummy for the TV series Mystery and Imagination, and the 1971 theatrical film by Hammer, Blood from the Mummy's Tomb (in which Ahmed Osman also appeared). It was released by Warner Bros.",Charlton Heston-Jill Townsend-Stephanie Zimbalist-Susannah York,The Awakening,1980 directorial debut films-1980 films-1980 horror films-1980s fantasy films-British films-British horror films-EMI Films films-English-language films-Films based on Irish novels-Films based on works by Bram Stoker-Films directed by Mike Newell-Films set in ancient Egypt-Films shot in Cambridgeshire-Films shot in Egypt-Films with screenplays by Clive Exton-Mummy films-Orion Pictures films-Warner Bros. films,Jack Cardiff,Mike Newell (director),8415112.0,Mike Newell (director),English
17,The Boogeyman (1980 film),11558238,"The Boogeyman is a 1980 American supernatural horror film directed by Ulli Lommel and starring Suzanna Love, John Carradine, and Ron James. The film's title refers to the long-held superstition of boogeymen beings, and its plot concerns two siblings who are targeted by the ghost of their mother's deceased boyfriend which has been freed from an imprisoned mirror.",-John Carradine-Nicholas Love-Ron James-Suzanna Love,The Boogeyman,1980 films-1980 horror films-1980 independent films-1980 thriller films-1980s horror thriller films-1980s slasher films-1980s supernatural horror films-1980s teen horror films-American films-American horror thriller films-American slasher films-American supernatural horror films-American teen horror films-English-language films-Films directed by Ulli Lommel-Films shot in Los Angeles-Films shot in Maryland-Video nasties,na,Ulli Lommel,2.5E7,Ulli Lommel,English
18,Fiend (film),43727354,"Fiend is a 1980 American B movie science fiction horror film directed and written by low-budget filmmaker Don Dohler, shot in Perry Hall, Maryland and starring Don Leifert, Elaine White, Richard Nelson, and George Stover. The film had U.S. theatrical release in September 1980.",-George Stover-Richard Nelson-Don Leifert-Elaine White,Fiend,1980 films-1980 horror films-American films-American supernatural horror films-English-language films-Films set in Maryland,Don Dohler,Don Dohler,na,Don Dohler,English
19,The Godsend (film),47958289,"The Godsend is a 1980 British horror film directed by Gabrielle Beaumont and written by Olaf Pooley. It is based on the 1976 novel The Godsend by Bernard Taylor. The film stars Malcolm Stoddard, Cyd Hayman, Angela Pleasence, Patrick Barr, Wilhelmina Green and Joanne Boorman. The film was released on 13 January 1980 by The Cannon Group, Inc.",Joanne Boorman-Wilhelmina Green-Angela Pleasence-Cyd Hayman-Malcolm Stoddard-Patrick Barr,The Godsend,1980 films-1980 horror films-British films-British horror films-English-language films-Films directed by Gabrielle Beaumont-Fratricide in fiction,Norman Warwick,Gabrielle Beaumont,na,Gabrielle Beaumont,English
20,Inferno (1980 film),3999425,"Inferno is a 1980 Italian supernatural horror film written and directed by Dario Argento, and starring Irene Miracle, Leigh McCloskey, Eleonora Giorgi, Daria Nicolodi and Alida Valli. The plot follows a young man's investigation into the disappearance of his sister, who had been living in a New York City apartment building that also served as a home for a powerful, centuries-old witch. The cinematography was by Romano Albani, and Keith Emerson composed the film's musical score.",-Alida Valli-Ania Pieroni-Daria Nicolodi-Eleonora Giorgi-Feodor Chaliapin-Gabriele Lavia-Irene Miracle-Leigh McCloskey-Leopoldo Mastelloni-Sacha Pitoeff-Veronica Lazar,Inferno,1980 films-1980 horror films-1980s supernatural horror films-Films about Satanism-Films about witchcraft-Films directed by Dario Argento-Films scored by Keith Emerson-Films set in Manhattan-Films set in Rome-Films set in apartment buildings-Films shot in New York City-Films shot in Rome-Films with screenplays by Dario Argento-Italian films-Italian sequel films-Italian supernatural horror films,Romano Albani,Dario Argento,na,Dario Argento,Italian
21,A Praga,18278389,A Praga (English: The Plague) is a 1980 Brazilian horror film directed by José Mojica Marins.,Felipe Von Rhine-Sílvia Gless-Wanda Kosmo,A Praga,1980 films-1980 horror films-Brazilian films-Brazilian horror films-Films about witchcraft-Films directed by José Mojica Marins-Portuguese-language films,Giuseppe Romero,José Mojica Marins,na,José Mojica Marins,Portuguese
22,Alien 2: On Earth,42746245,"Alien 2: On Earth, also known as Alien Terror, is a 1980 Italian-American science fiction horror film, written and directed by Ciro Ippolito before the trademark Alien was registered. It was released following the success of the 1979 film Alien as an unofficial sequel, albeit having little connection to the film.",-Belinda Mayne-Benny Aldrich-Claudio Falanga-Don Parkinson-Judy Perrin-Mark Bodin-Michele Soavi-Roberto Barrese,Alien 2: On Earth,1980 films-1980 horror films-1980s monster movies-1980s science fiction horror films-Italian-language films-Italian films-Italian science fiction horror films-Unofficial sequel films,na,Ciro Ippolito,na,Ciro Ippolito,English
23,The Curse of King Tut's Tomb (1980 film),25602422,"The Curse of King Tut's Tomb is a 1980 horror film directed by Philip Leacock and starring Eva Marie Saint, Harry Andrews, Raymond Burr and Tom Baker, with Paul Scofield as the narrator.",Eva Marie Saint-Harry Andrews,The Curse of King Tut's Tomb,1980 films-1980 horror films-1980 television films-American films-American television films-British films-Cultural depictions of Tutankhamun-English-language films-Films about archaeology-Films directed by Philip Leacock-Films scored by Gil Mellé-Films shot in Egypt-Films shot in England,na,Philip Leacock,na,Philip Leacock,English
24,Witches' Brew (film),21753206,"Witches' Brew, also known as Which Witch Is Which?, is a 1980 American comedy horror film co-written and directed by Richard Shorr, and starring Richard Benjamin, Teri Garr, and Lana Turner. It was based (though without any screen credit) on Fritz Leiber Jr.'s horror-fantasy novel Conjure Wife. Herbert L. Strock directed additional sequences for the film.",Lana Turner-Richard Benjamin-Teri Garr,Witches' Brew,1980 comedy films-1980 films-1980 horror films-1980s comedy horror films-American comedy horror films-American films-English-language films-Films about witchcraft-Films based on American novels-United Artists films,na,Richard Shorr,na,Richard Shorr,English
25,Frozen Scream,28645500,"Frozen Scream is a 1980 American horror film produced by and directed by Frank Roach. It stars Harmon, Lynne Kocol and Thomas Gowan. Harmon also co-wrote the story with Doug Ferrin. The film achieved a degree of notoriety when it was released on video in the UK in 1983 and became one of the films on the government's video nasty list. The movie follows the story of two scientists whose experiments in unlocking the secrets of immortality result instead in the creation of black-robed zombies who must be preserved at very low temperatures to continue functioning.",-Lynne Kocol-Renee Harmon-Wolf Muser,Frozen Scream,1980 films-1980 horror films-American films-American zombie films-Video nasties,na,na,na,na,English
26,Toxic Zombies,28645571,"Toxic Zombies (also known as Bloodeaters, Bloodeaters: Butchers of the Damned, The Dromax Derangement, and Forest of Fear) is a 1980 horror film directed by Charles McCrann, who also acted in the film. It was classified as a video nasty in the United Kingdom in the 1980s.",-Beverly Shapiro-Charles McCrann-Dennis Helfend-John Amplas,Toxic Zombies,1980 films-1980 horror films-1980s exploitation films-American exploitation films-American films-American films about cannabis-American zombie films-English-language films-Video nasties,na,na,na,na,English
27,Rahasya Rathri,44535321,"Rahasya Rathri (Kannada: ರಹಸ್ಯ ರಾತ್ರಿ) is a 1980 Indian Kannada film, directed by M. S. Kumar and produced by R. N. Brothers. The film stars Vishnuvardhan, Bharathi, Prakash and Radha Ravi in the lead roles. The film has musical score by Shankar–Ganesh.",Prakash-Bharathi Vishnuvardhan-Radha Ravi-Vishnuvardhan (actor),Rahasya Rathri,1980 films-1980 horror films-1980s Kannada-language films-Films scored by Shankar–Ganesh-Indian films-Indian horror films-Vampires in film,na,na,na,na,Kannada
28,Don't Answer the Phone!,27842523,"Don't Answer the Phone! is a 1980 American psychological horror film co-written and directed by Robert Hammer. While not prosecuted for obscenity, the film was seized and confiscated in the UK under Section 3 of the Obscene Publications Act 1959 during the video nasty panic.",James Westmoreland-Denise Galik-Nicholas Worth,Don't Answer the Phone!,1980 films-1980 horror films-1980 independent films-1980s mystery films-1980s psychological thriller films-1980s slasher films-American films-American horror thriller films-American independent films-American mystery films-American serial killer films-American slasher films-Crown International Pictures films-Films set in Los Angeles-Films shot in Los Angeles-Troma Entertainment films,na,na,na,na,English
29,Erotic Nights of the Living Dead,31524231,Erotic Nights of the Living Dead (Italian: Le notti erotiche dei morti viventi) is a 1980 Italian erotic-horror film filmed in and around Santo Domingo and written and directed by Joe D'Amato. It has received mixed to negative reviews.,George Eastman (actor)-Laura Gemser,Erotic Nights of the Living Dead,1980 films-1980 horror films-1980s pornographic films-Films about Voodoo-Films directed by Joe D'Amato-Films scored by Marcello Giombini-Films set in the Dominican Republic-Films set on islands-Films shot in the Dominican Republic-Italian erotic horror films-Italian films-Italian pornographic films-Pornographic parody films of horror films-Pornographic zombie films-Sexploitation films-Splatter films,Joe D'Amato,Joe D'Amato,na,Joe D'Amato,http://dbpedia.org/resource/Italian_language
30,Gehrayee,26408859,"Gehrayee (transl. Depth) is a 1980 Indian horror thriller film directed by Vikas Desai and Aruna Raje based on a script by Vijay Tendulkar, Desai and Raje, and starring Anant Nag, Padmini Kolhapure, Sriram Lagoo and Indrani Mukherjee with Amrish Puri in a guest appearance. The film was produced by N. B. Kamat.",Anant Nag-Indrani Mukherjee-Padmini Kolhapure-Sriram Lagoo,Gehrayee,1980 films-1980 horror films-1980s Hindi-language films-1980s horror thriller films-Films scored by Laxmikant–Pyarelal-Indian films-Indian horror thriller films-Indian supernatural horror films-Indian supernatural thriller films,Barun Mukherji (cinematographer),Aruna Raje,na,Aruna Raje,Hindi
31,The House on the Edge of the Park,2839369,"The House on the Edge of the Park (Italian: La casa sperduta nel parco) is a 1980 English-language Italian exploitation horror film written by Gianfranco Clerici and Vincenzo Mannino, and directed by Ruggero Deodato. It stars David A. Hess and Giovanni Lombardo Radice as two criminals who infiltrate a posh gathering in a villa and violently turn against the partygoers after they mock them. The film is a loose remake of The Last House on the Left (1972), in which Hess also starred.",-Annie Belle-Christian Borromeo-David A. Hess-Giovanni Lombardo Radice-Marie Claude Joseph,The House on the Edge of the Park,1980 films-1980 horror films-1980 independent films-1980s exploitation films-1980s horror thriller films-1980s serial killer films-1980s slasher films-Films directed by Ruggero Deodato-Films scored by Riz Ortolani-Films set in the United States-Home invasions in film-Italian-language films-Italian films-Italian horror thriller films-Italian independent films-Italian serial killer films-Italian slasher films-Rape and revenge films-Video nasties,na,Ruggero Deodato,na,Ruggero Deodato,English
32,To All a Goodnight,13617906,To All a Goodnight is a 1980 American slasher film directed by David Hess and starring Jennifer Runyon and Forrest Swanson. Its plot follows a group of female finishing school students and their boyfriends being murdered during a Christmas party by a psychopath dressed as Santa Claus.,Forrest Swanson-Linda Gentile-Jennifer Runyon,To All a Goodnight,1980 films-1980 horror films-1980s slasher films-American Christmas horror films-American films-American independent films-American slasher films-English-language films,na,David Hess,na,David Hess,English
33,My Mother Is Arb,19784041,"My Mother Is Arb (Khmer: កូនអើយ ម្តាយអាប, Kon Aeuy Madai Ahp or Kaun aey mteay a b, literally, Child, Witch Mother, also Krasue Mom) is a Cambodian horror film. This film has the distinction of being the first movie made in Cambodia after the Khmer Rouge era.",Chan Dara thy,My Mother Is Arb,1980 films-1980 horror films-Cambodian films-Cambodian horror films-Khmer-language films-People's Republic of Kampuchea,na,na,na,na,Khmer
34,City of the Living Dead,4390553,"City of the Living Dead (Italian: Paura nella città dei morti viventi, lit. 'Fear in the city of the living dead') is a 1980 Italian supernatural horror film co-written and directed by Lucio Fulci. It stars Christopher George, Catriona MacColl, Carlo de Mejo, Antonella Interlenghi, Giovanni Lombardo Radice, Daniela Doria, Fabrizio Jovine, and Janet Agren. The film follows a priest whose hanging opens a gateway to hell that releases the undead, where a psychic and a reporter team up to close it before All Saints' Day.",-Antonella Interlenghi-Carlo de Mejo-Catriona MacColl-Christopher George-Giovanni Lombardo Radice,City of the Living Dead,"1980 films-1980 horror films-Films about suicide-Films about zombies-Films directed by Lucio Fulci-Films scored by Fabio Frizzi-Films set in New York City-Films shot in Georgia (U.S. state)-Films shot in Rome-Films shot in Savannah, Georgia-Italian films-Italian ghost films-Italian supernatural horror films",Sergio Salvati,Lucio Fulci,na,Lucio Fulci,na
35,Antropophagus,1522227,"Antropophagus (also known as Antropophagus: The Beast and The Grim Reaper) is a 1980 Italian horror film directed by Joe D'Amato and co-written by D'Amato and George Eastman, who starred in the film as a cannibal. The film also starred Tisa Farrow, Zora Kerova, Saverio Vallone, Serena Grandi, Margaret Mazzantini, and Mark Bodin.",George Eastman-Saverio Vallone-Tisa Farrow-Serena Grandi-Zora Kerova,Antropophagus,1980 horror films-1980s independent films-1980s slasher films-Italian independent films-Italian sequel films-Italian serial killer films-Italian slasher films,na,Joe D'Amato,na,Joe D'Amato,na
36,The Watcher in the Woods (1980 film),4187903,"The Watcher in the Woods is a 1980 American supernatural horror film directed by John Hough and Vincent McEveety and starring Bette Davis, Carroll Baker, Lynn-Holly Johnson, Kyle Richards, and David McCallum. Based on the 1976 novel by Florence Engel Randall, the film tells the story of a teenage girl and her little sister who become encompassed in a supernatural mystery regarding a missing girl in the woods surrounding their new home in the English countryside.",-Bette Davis-Carroll Baker-David McCallum-Kyle Richards-Lynn-Holly Johnson,The Watcher in the Woods,1980 films-1980 horror films-1980s ghost films-1980s mystery films-1980s thriller films-American films-American ghost films-American haunted house films-American mystery films-American supernatural horror films-American supernatural thriller films-American thriller films-Films based on American novels-Films based on mystery novels-Films directed by John Hough-Films produced by Ron W. Miller-Films scored by Stanley Myers-Films set in country houses-Films set in forests-Films shot at Pinewood Studios-Mystery horror films-Walt Disney Pictures films,Alan Hume,Vincent McEveety,5000000.0,Vincent McEveety,English
37,Windows (film),2397550,"Windows is a 1980 American suspense thriller directed by Gordon Willis and starring Talia Shire, Joseph Cortese and Elizabeth Ashley. It was the only film directed by Willis, who is better known as a cinematographer for such films as The Godfather series and several films by Woody Allen.",Elizabeth Ashley-Joseph Cortese-Talia Shire,Windows,1980 LGBT-related films-1980 directorial debut films-1980 drama films-1980 films-1980 horror films-1980 independent films-1980 thriller films-1980s ghost films-1980s horror thriller films-1980s mystery films-American LGBT-related films-American films-American ghost films-American psychological horror films-English-language films-Films scored by Ennio Morricone-Films set in New York City-Films shot in New York City-Lesbian-related films-United Artists films,Gordon Willis,Gordon Willis,2128395.0,Gordon Willis,English
38,Fade to Black (1980 film),5836246,"Fade to Black is a 1980 American psychological horror comedy film written and directed by Vernon Zimmerman, and starring Dennis Christopher, Eve Brent and Linda Kerridge. It also features Mickey Rourke and Peter Horton in minor roles. The plot follows a shy and lonely cinephile who embarks on a killing spree against his oppressors while impersonating classic film characters.",-Dennis Christopher-Eve Brent-Gwynne Gilford-James Luisi-Linda Kerridge-Morgan Paull-Norman Burton,Fade to Black,"1980 films-1980s serial killer films-American comedy horror films-American films-American horror thriller films-American independent films-American mystery thriller films-American serial killer films-American slasher films-English-language films-Films about Hollywood-Films about filmmaking-Films scored by Craig Safan-Films set in Los Angeles-Films shot in Venice, Los Angeles",na,Vernon Zimmerman,1.5E7,Vernon Zimmerman,http://dbpedia.org/resource/English_language
39,Death Ship (film),14296848,"Death Ship is a 1980 horror film directed by Alvin Rakoff and starring Richard Crenna, George Kennedy, Nick Mancuso, Sally Ann Howes, Kate Reid, Victoria Burgoyne, and Saul Rubinek in an early role. The screenplay by John Robins was based on a story by Jack Hill and David P. Lewis. A British-Canadian co-production, the film was shot on-location in Dauphin Island, Alabama; Quebec City, Quebec; and the Gulf of Mexico. It was director Rakoff's only horror film, and upon release received mixed-to-negative reviews, but is considered a cult classic.",George Kennedy-Kate Reid-Nick Mancuso-Richard Crenna-Sally Ann Howes,Death Ship,1980 films-1980 horror films-1980s supernatural horror films-American films-American ghost films-British films-British ghost films-British supernatural horror films-Canadian films-Canadian ghost films-Canadian supernatural horror films-Embassy Pictures films-English-language films-Films about Nazis-Films about survivors of seafaring accidents or incidents-Films directed by Alvin Rakoff-Films set on ships-Films shot in Alabama-Films shot in Quebec-Seafaring films,na,Alvin Rakoff,1750000.0,Alvin Rakoff,na
40,Guest House (1980 film),56929661,"Guest House is a 1980 Indian Hindi-language horror film directed by Shyam Ramsay, Tulsi Ramsay and produced by the Ramsay Brothers. This film was released in 1980 in the banner of Ramsay Productions. The music of the movie was composed by Bappi Lahiri.",Vijayendra Ghatge,Guest House,1980 films-1980 horror films-1980s Hindi-language films-Films scored by Bappi Lahiri-Hindi-language horror films-Indian films-Indian horror films,na,Shyam Ramsay,na,Shyam Ramsay,Hindi
41,Schizoid (film),4180502,Schizoid (also known as Murder by Mail) is a 1980 American psychological horror film directed and written by David Paulsen.,-Craig Wasson-Klaus Kinski-Marianna Hill,Schizoid,1980 films-1980 horror films-1980s slasher films-American films-American psychological horror films-American serial killer films-American slasher films-English-language films-Golan-Globus films,na,David Paulsen (producer),na,David Paulsen (producer),English
